Finding No.,Support Type,Insulation,Fluid,Operating Temperature (minimum),Operating Temperature (maximum),Material,Coating,Primer,Mist,Intermediate,Finish,Anti-Corrosion,Environment,Severity,Susceptibility
AN-P08-R04,Bolted skid,Yes,Acrylonitrile,15,19,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
AN-P08-R05,Bolted skid,Yes,Acrylonitrile,15,19,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
LPG-P05-R01,Guide,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Low,Negligible
LPG-P05-R02,Pipework resting on beam,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Low,Negligible
LPG-P05-R03,Guide,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Low,Negligible
LPG-P05-R04,Pipework resting on beam,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Low,Negligible
LPG-P05-R05,Guide,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Low,Negligible
LPG-P06-R01,Saddle support+guide,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
LPG-P06-R02,Saddle support,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
LPG-P06-R03,Saddle support+guide,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
LPG-P06-R04,Saddle support,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
LPG-P06-R05,Saddle support,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
LPG-P07-R01,Saddle support+guide,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
LPG-P07-R02,Saddle support+guide,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
LPG-P07-R03,Saddle support,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
LPG-P07-R04,Saddle support+guide,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
LPG-P07-R05,Saddle support,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
LPG-P08-R01,Saddle support+guide,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
LPG-P08-R02,Saddle support+guide,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
LPG-P08-R03,Saddle support,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
LPG-P08-R04,Saddle support+guide,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
LPG-P08-R05,Saddle support,No,Liquefied Petroleum Gas,15,27,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P05-R01,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P05-R02,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P05-R03,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P05-R04,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P05-R05,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P06-R01,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P06-R02,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P06-R03,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P06-R04,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P06-R05,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P7-R01,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P07-R02,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P07-R03,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P07-R04,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P07-R05,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P08-R01,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P08-R02,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P08-R03,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P08-R04,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
MMA-P08-R05,Bolted skid,Yes,Methyl Methacrylate,10,24,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Propylene-P05-R01,Guide,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Propylene-P05-R02,Pipework resting on beam,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Low,Negligible
Propylene-P05-R03,Guide,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Low,Negligible
Propylene-P05-R04,Pipework resting on beam,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Low,Negligible
Propylene-P05-R05,Guide,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Propylene-P06-R01,Saddle support+guide,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Propylene-P06-R02,Saddle support,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Propylene-P06-R03,Saddle support+guide,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Propylene-P06-R04,Saddle support,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Propylene-P06-R05,Saddle support,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Propylene-P07-R01,Saddle support+guide,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Propylene-P07-R02,Saddle support+guide,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Propylene-P07-R03,Saddle support,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Propylene-P07-R04,Saddle support+guide,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Propylene-P07-R05,Saddle support,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Propylene-P08-R01,Saddle support+guide,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Propylene-P08-R02,Saddle support+guide,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Propylene-P08-R03,Saddle support,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Propylene-P08-R04,Saddle support+guide,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Propylene-P08-R05,Saddle support,No,Propylene,26,36,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Solvent-P05-R01,Guide,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Solvent-P05-R02,Pipework resting on beam,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Solvent-P05-R03,Guide,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Solvent-P05-R04,Pipework resting on beam,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Low,Negligible
Solvent-P05-R05,Guide,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Solvent-P06-R01,Guide,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Low,Negligible
Solvent-P06-R02,Pipework resting on beam,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Low,Negligible
Solvent-P06-R03,Guide,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Low,Negligible
Solvent-P06-R04,Pipework resting on beam,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Solvent-P06-R05,Guide,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Low,Negligible
Solvent-P07-R01,Guide,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Solvent-P07-R02,Pipework resting on beam,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Solvent-P07-R03,Guide,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Low,Negligible
Solvent-P07-R04,Pipework resting on beam,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Low,Negligible
Solvent-P07-R05,Guide,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Solvent-P08-R01,Guide,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Solvent-P08-R02,Pipework resting on beam,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Solvent-P08-R03,Guide,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Solvent-P08-R04,Pipework resting on beam,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Solvent-P08-R05,Pipework resting on beam,No,Hexane,35,35,Carbon Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P05-R01,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P05-R02,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P05-R03,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P05-R04,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P05-R05,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P06-R01,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Low,Negligible
Sulfuric-P06-R02,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P06-R03,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P06-R04,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P06-R05,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P07-R01,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P07-R02,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P07-R03,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P07-R04,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P07-R05,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P08-R01,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P08-R02,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P08-R03,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P08-R04,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
Sulfuric-P08-R05,Welded skid,No,Sulfuric acid,36,36,Stainless Steel,Yes,Inorganic zinc Self-cure Solvent base,High-built Polyamide Epoxy,High-build Polyamide Epoxy,Aliphatic Polyurethane Final coat,No,Marine,Negligible,Negligible
